dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
716697,6.13451683053832,4.15021706753596,2.55468156241978,81.7429,5.6,7.07813410691784,40.1,5.05263904361195,0,1.35726418612627,7.32909373624659,-38.8641745084076,-0.554242988553444,3.6,3.84,2.24
716727,1.74678912725206,9.1784539252437,-1.27897078823977,81.3349,5.5,0.560999740507384,40.2,0,-3.58744661803954,0.713733441608255,7.30182234213793,-92.7200945563648,-0.810508198104376,3.66,3.87,2.64
716758,1.62723958481479,-6.02892686188596,-2.55740872149754,80.9291,5.5,0.345100297151646,40,0,0,0.784616784275727,7.24708058458576,-149.104031455963,-1.62266055612657,3.64,3.91,2.34
716788,5.83100756584365,3.94068803006089,11.4817098564432,81.476,5.4,2.19768442788677,40,5.03145391204334,0,-0.713266782768684,7.27931883541462,28.5626272861226,-0.726638074527841,3.8,4.01,2.34
716819,1.88619369023755,3.25361498720529,1.2694994796405,81.4168,5.7,1.97877876785384,40.1,5.01044569257663,3.58744661803954,1.78237266526313,7.32448997934853,32.2125151915433,-1.19777565911985,3.71,3.98,2.13
716850,0.540880118891707,13.4120477650463,7.58437026411656,81.7875,5.6,3.00493825191879,40.1,0,10.6984363895426,5.89856388873411,7.18841273649695,-10.7106787266051,-1.24181501616949,3.7,3.98,2.13
716880,6.3982519361435,-5.95595043888224,1.26017219526471,81.3851,5.4,1.34977116329793,39.9,0,-7.12168262377713,-1.2767467808013,7.33498187887181,-38.4722448024934,0.171361251228319,3.64,3.93,2.09
716911,4.31874084679116,15.7972674525009,5.02749670969393,81.8392,5.7,0.321150434132988,40.1,4.98961217839655,0,0.922231135220208,7.39141523467536,79.9538402651045,0.256996003266607,3.6,3.92,2.02
716941,5.73255709365519,6.71565236483698,0,81.6791,5.5,-0.599550349718925,39.6,0,-3.57675376576552,-0.567442970734078,7.35500192110526,50.8716539007438,0.599443386475329,3.56,3.86,1.99
716972,7.32333145944963,-0.358815910178834,8.74325738340005,81.9446,5.7,1.86190882970223,40,4.96895119923755,-3.58744661803954,2.9760865564322,7.12608727329912,45.4870432351893,0.641928654240775,3.58,3.83,1.99
717003,-6.34238515814189,-4.49427505932611,13.6189616273249,82.3778,5.9,2.45671900306945,39.9,4.94846062063461,0,1.27320966851343,7.28344822875663,15.7583574672127,-0.599122725615331,3.66,3.92,1.89
717031,5.3586173756937,6.04836971766467,7.35947188390114,82.6243,5.7,1.91914745481228,40,4.92813834318402,-3.59820359550778,-0.919404789340206,7.3356339819272,-4.55962247800237,-1.19914356873663,3.68,3.93,1.9
717062,3.28378738738735,4.35269166208467,10.9618313670994,83.4581,5.7,5.52702482836054,40.2,0,0,-0.0707526311336082,7.4318919168078,55.1759763741213,0.0428471961910759,3.74,3.97,1.97
717092,5.16357825032934,0.773483429115274,14.4574033958559,83.9513,5.9,0.763277880074753,40.2,4.90798230183032,3.59820359550778,1.90885832810004,7.40306109109009,23.8452770368603,-0.471403323741892,3.72,3.93,1.85
717123,5.64973305269199,11.5428192992425,3.58837608498828,83.9398,5.6,0.911057205536281,40.3,4.88799046516286,3.58744661803954,2.61092102647194,7.37023064180708,-0.513368991787289,0.257152042128439,3.81,3.99,1.85
717153,0.669750172376737,6.1696794005023,-4.78688994102399,83.3448,5.6,2.85580947985906,40.2,4.86816083473731,-3.58744661803954,2.39422648522094,7.38647084882989,-17.9339449415941,0.257096947957347,3.89,4.02,1.82
717184,4.21404119741204,4.21237817369384,2.39583187677397,83.5014,5.4,2.44846352446473,40.2,0,0,1.61691931080714,7.40184157874383,32.7331969409631,-0.514248990085786,3.89,4,1.34
717215,8.08696487451463,-2.22135683073859,11.9036525912195,83.8227,5.5,3.53721700480918,40.2,4.84849144440589,0,-0.210779004611261,7.47477218239787,31.2052625074354,-0.814678536998859,3.96,4.08,1.36
717245,6.63038829342355,-0.70233626352536,8.26157715996025,84.3071,5.5,4.30217055624667,40.3,0,3.58744661803954,2.31653527730273,7.48380668766583,2.96133958896583,0.0428916093335729,3.97,4.11,1.33
717276,2.5044368694445,8.92414252206066,5.86951588434026,84.2946,5.7,-0.586704860732823,40.2,4.8289803596707,0,1.68194853208643,7.39141523467536,-6.75593957499423,0,4.01,4.12,1.36
